Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Cruel Summer,0.117,0.552,178427,0.702,2.06e-05,-5.707,0.157,169.994,0.564
Blank Space,0.085,0.753,231827,0.678,1.64e-06,-5.421,0.0644,96.006,0.583
Style,0.00253,0.598,231000,0.786,0.0016,-5.572,0.0383,95.019,0.456
Anti-Hero,0.13,0.637,200690,0.643,1.8e-06,-6.571,0.0519,97.008,0.533
august,0.538,0.532,261923,0.623,7.28e-05,-9.208,0.0331,89.937,0.403
cardigan,0.537,0.613,239560,0.581,0.000345,-8.588,0.0424,130.033,0.551
Lover,0.492,0.359,221307,0.543,1.58e-05,-7.582,0.0919,68.534,0.453
Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,-6.719,0.0386,135.917,0.193
Karma,0.0734,0.642,204852,0.62,0,-7.091,0.0666,90.02,0.0969
Shake It Off,0.0561,0.647,219200,0.785,0,-5.414,0.165,160.015,0.943
