Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Music For a Sushi Restaurant,0.258,0.72,193813,0.715,0.0568,-4.652,0.04,107.041,0.357
Late Night Talking,0.298,0.714,177955,0.728,0,-4.595,0.0468,114.996,0.901
Grapejuice,0.357,0.645,191959,0.721,0.143,-4.394,0.0336,182.928,0.88
As It Was,0.342,0.52,167303,0.731,0.00101,-5.338,0.0557,173.93,0.662
Daylight,0.484,0.686,164533,0.445,0.00144,-7.189,0.0398,145.5,0.626
Golden,0.21,0.448,208907,0.838,0.000131,-5.257,0.0557,139.863,0.254
Watermelon Sugar,0.122,0.548,174000,0.816,0,-4.209,0.0465,95.39,0.557
Adore You,0.0237,0.676,207133,0.771,7e-06,-3.675,0.0483,99.048,0.569
Lights Up,0.0392,0.575,172213,0.621,0.0045,-8.165,0.032,101.987,0.27
Cherry,0.615,0.53,259187,0.512,0.00453,-9.261,0.0259,95.946,0.411
Meet Me in the Hallway,0.747,0.537,227200,0.383,0.00025,-6.528,0.0247,104.252,0.339
Sign of the Times,0.0275,0.516,340707,0.595,0,-4.63,0.0313,119.972,0.222
Carolina,0.000569,0.624,189613,0.673,1.54e-06,-4.017,0.0268,121.986,0.458
Two Ghosts,0.234,0.386,229813,0.407,1.86e-06,-7.095,0.0268,69.387,0.456
Sweet Creature,0.746,0.427,224867,0.262,0,-8.541,0.0276,104.085,0.228
