Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Donda Chant,0.00505,0.717,52062,0.0503,1.41e-06,-15.204,0.606,109.916,0.166
Hurricane,0.0456,0.388,243187,0.568,0,-6.549,0.224,78.342,0.394
Moon,0.898,0.443,156091,0.236,1.45e-05,-9.643,0.03,66.296,0.256
Life Of The Party (with André 3000),0.138,0.502,391656,0.714,0,-6.668,0.257,79.136,0.305
Off The Grid,0.044,0.57,339250,0.644,0,-5.589,0.34,137.574,0.662
Donda Chant,0.00516,0.702,52062,0.0474,1.22e-06,-15.198,0.526,102.983,0.175
Jail,0.535,0.458,297000,0.571,0.000305,-6.739,0.0949,110.013,0.586
God Breathed,0.289,0.325,333462,0.311,6.74e-05,-7.481,0.0442,92.744,0.0789
Off The Grid,0.0438,0.546,339250,0.64,0,-5.582,0.37,137.728,0.63
Hurricane,0.0466,0.587,243187,0.561,0,-6.569,0.146,80.009,0.351
Every Hour,0.466,0.588,112239,0.793,0.000647,-6.23,0.0794,76.997,0.694
Selah,0.647,0.482,164620,0.618,0.000859,-5.673,0.197,90.076,0.146
Follow God,0.000248,0.529,104591,0.9,1.21e-05,-3.503,0.418,180.291,0.434
Closed On Sunday,0.873,0.799,151873,0.291,0.000641,-7.353,0.0318,97.984,0.406
On God,0.0671,0.41,136351,0.886,0,-4.413,0.155,72.577,0.393
Feel The Love,0.126,0.58,165053,0.469,7.32e-05,-5.946,0.104,110.573,0.369
Fire,0.472,0.709,140527,0.751,4.71e-06,-3.801,0.16,104.999,0.37
4th Dimension,0.278,0.765,153351,0.542,1.87e-05,-6.755,0.39,171.945,0.734
Freeee (Ghost Town Pt. 2),0.00457,0.334,206605,0.81,0,-4.855,0.0632,151.643,0.306
Reborn,0.339,0.585,324674,0.597,0.0404,-7.499,0.037,100.051,0.227
I Thought About Killing You,0.867,0.752,274187,0.396,0,-7.932,0.411,116.016,0.417
Yikes,0.15,0.683,188773,0.776,0,-3.251,0.341,173.996,0.223
All Mine,0.123,0.925,145507,0.31,0,-6.531,0.291,121.927,0.291
Wouldn't Leave,0.495,0.556,205547,0.432,0,-8.551,0.545,164.235,0.352
No Mistakes,0.0393,0.643,123040,0.646,0,-2.442,0.0629,80.174,0.35
