Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Main Titles (You’ve Been Called Back to Top Gun),0.0404,0.493,150667,0.302,0.834,-12.478,0.0289,107.425,0.157
Danger Zone,0.0697,0.553,215573,0.887,0,-6.463,0.0387,156.767,0.687
Darkstar,0.666,0.448,181053,0.381,0.756,-18.062,0.0346,145.031,0.14
Great Balls Of Fire - Live,0.765,0.562,114760,0.605,0,-7.299,0.0421,160.039,0.629
You’re Where You Belong / Give ‘Em Hell,0.587,0.157,346347,0.0927,0.779,-20.179,0.0379,145.73,0.0325
It's De-Lovely,0.726,0.596,173440,0.471,0,-5.722,0.138,93.103,0.431
Night And Day,0.61,0.399,222373,0.384,0,-6.981,0.0286,102.31,0.339
Love For Sale,0.71,0.588,220787,0.493,0,-7.331,0.104,104.1,0.518
Do I Love You,0.888,0.263,288280,0.286,2.56e-06,-7.986,0.0295,61.842,0.18
I've Got You Under My Skin,0.804,0.646,185933,0.478,0,-6.57,0.0349,129.443,0.715
Alice - LSDXOXO Remix,0.121,0.908,160396,0.808,0.0688,-5.424,0.0671,122.948,0.751
Stupid Love - COUCOU CHLOE Remix,0.00275,0.772,156847,0.817,0.75,-5.729,0.146,128.047,0.462
Rain On Me (with Ariana Grande) - Arca Remix,0.334,0.644,263473,0.637,0.0002,-8.004,0.0734,122.998,0.306
Free Woman - Rina Sawayama & Clarence Clarity Remix,0.0254,0.574,233901,0.961,0,-3.753,0.157,119.053,0.312
Fun Tonight - Pabllo Vittar Remix,0.00693,0.642,140968,0.915,0,-3.323,0.0367,131.969,0.843
Marry The Night,0.00103,0.614,264520,0.878,0.00438,-4.422,0.056,131.094,0.406
Born This Way,0.0036,0.586,260253,0.827,0,-5.103,0.151,123.905,0.514
Government Hooker,0.00019,0.672,254267,0.804,0.0603,-6.778,0.0365,119.979,0.496
Judas,0.000967,0.661,249067,0.937,1.58e-05,-3.83,0.0744,130.999,0.535
Americano,0.000638,0.608,246480,0.842,7.39e-06,-5.072,0.0328,127.982,0.332
Chromatica I,0.0126,0.231,60400,0.457,0.875,-10.773,0.0318,65.827,0.0588
Alice,0.00334,0.723,177600,0.88,0.0179,-4.287,0.038,123.036,0.323
Stupid Love,0.00173,0.68,193533,0.825,0.000122,-4.296,0.0702,117.987,0.784
Rain On Me (with Ariana Grande),0.021,0.672,182200,0.855,0,-3.764,0.0397,123.056,0.646
Free Woman,0.0228,0.731,191467,0.927,7.15e-05,-3.634,0.0781,119.006,0.478
