Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Welcome To New York (Taylor's Version),0.00942,0.757,212600,0.61,3.66e-05,-4.84,0.0327,116.998,0.685
Blank Space (Taylor's Version),0.0885,0.733,231833,0.733,0,-5.376,0.067,96.057,0.701
Style (Taylor's Version),0.000421,0.511,231000,0.822,0.0197,-4.785,0.0397,94.868,0.305
Out Of The Woods (Taylor's Version),0.000537,0.545,235800,0.885,5.59e-05,-5.968,0.0447,92.021,0.206
All You Had To Do Was Stay (Taylor's Version),0.000656,0.588,193289,0.721,0,-5.579,0.0317,96.997,0.52
Welcome To New York (Taylor's Version),0.00961,0.761,212600,0.607,2.24e-05,-4.83,0.0312,116.98,0.674
Blank Space (Taylor's Version),0.0976,0.737,231833,0.725,0,-5.417,0.0641,96.012,0.755
Style (Taylor's Version),0.000418,0.575,231000,0.824,0.0214,-4.823,0.038,94.971,0.292
Out Of The Woods (Taylor's Version),0.000512,0.547,235800,0.885,9.37e-05,-5.961,0.0418,91.992,0.192
All You Had To Do Was Stay (Taylor's Version),0.000718,0.586,193289,0.72,0,-5.556,0.035,97.057,0.481
Mine (Taylor's Version),0.00444,0.646,231707,0.783,1.38e-06,-2.846,0.0356,121.08,0.49
Sparks Fly (Taylor’s Version),0.0251,0.588,261231,0.758,0,-2.347,0.0305,114.991,0.387
Back To December (Taylor's Version),0.00621,0.497,294190,0.635,0,-3.927,0.0273,142.063,0.203
Speak Now (Taylor's Version),0.248,0.727,242473,0.677,0,-2.871,0.0325,118.995,0.639
Dear John (Taylor's Version),0.0236,0.419,405907,0.47,0,-5.016,0.0296,119.294,0.133
Lavender Haze,0.236,0.735,202396,0.454,0.00113,-10.516,0.0876,97.043,0.0751
Maroon,0.0609,0.65,218271,0.397,1.4e-06,-8.237,0.0365,108.055,0.0382
Anti-Hero,0.115,0.637,200690,0.649,1.22e-06,-6.59,0.0584,96.935,0.497
Snow On The Beach (feat. Lana Del Rey),0.705,0.653,256124,0.331,0.0013,-13.534,0.039,110.014,0.166
"You're On Your Own, Kid",0.423,0.694,194207,0.386,1.05e-05,-10.312,0.0597,120.044,0.39
Lavender Haze,0.204,0.735,202396,0.444,0.0012,-10.519,0.0684,97.038,0.0984
Maroon,0.0593,0.658,218271,0.378,0,-8.3,0.0379,108.034,0.0382
Anti-Hero,0.133,0.638,200690,0.634,1.23e-06,-6.582,0.0457,96.953,0.519
Snow On The Beach (feat. Lana Del Rey),0.735,0.659,256124,0.323,0.00321,-13.425,0.0436,110.007,0.154
"You're On Your Own, Kid",0.416,0.694,194207,0.38,8.47e-06,-10.307,0.0614,120.044,0.376
