Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Welcome To New York (Taylor's Version),0.00942,0.757,212600,0.61,3.66e-05,-4.84,0.0327,116.998,0.685
Blank Space (Taylor's Version),0.0885,0.733,231833,0.733,0,-5.376,0.067,96.057,0.701
Style (Taylor's Version),0.000421,0.511,231000,0.822,0.0197,-4.785,0.0397,94.868,0.305
Out Of The Woods (Taylor's Version),0.000537,0.545,235800,0.885,5.59e-05,-5.968,0.0447,92.021,0.206
All You Had To Do Was Stay (Taylor's Version),0.000656,0.588,193289,0.721,0,-5.579,0.0317,96.997,0.52
Shake It Off (Taylor's Version),0.0121,0.636,219209,0.808,2.18e-05,-5.693,0.0729,160.058,0.917
I Wish You Would (Taylor's Version),0.00354,0.67,207650,0.858,1.25e-05,-6.528,0.0439,118.009,0.539
Bad Blood (Taylor's Version),0.0362,0.618,211104,0.683,0,-6.438,0.194,169.971,0.363
Wildest Dreams (Taylor's Version),0.0436,0.589,220433,0.674,7.18e-05,-7.48,0.0656,139.985,0.514
How You Get The Girl (Taylor's Version),0.00196,0.758,247533,0.691,1.09e-05,-5.798,0.0515,119.997,0.538
This Love (Taylor’s Version),0.316,0.471,250100,0.509,0,-8.796,0.0355,144.071,0.0567
I Know Places (Taylor's Version),0.0999,0.582,195700,0.788,0,-5.358,0.0445,160.027,0.652
Clean (Taylor's Version),0.25,0.772,271000,0.391,2.92e-05,-8.892,0.0293,103.955,0.258
Wonderland (Taylor's Version),0.00976,0.464,245567,0.705,2.61e-05,-5.97,0.0434,183.892,0.385
You Are In Love (Taylor's Version),0.61,0.363,267389,0.498,3.91e-06,-9.473,0.0755,84.68,0.477
New Romantics (Taylor's Version),0.00675,0.649,230178,0.846,4.63e-06,-5.958,0.0602,121.978,0.698
"""Slut!"" (Taylor's Version) (From The Vault)",0.309,0.591,180381,0.412,0.000199,-13.27,0.0863,155.875,0.328
Say Don't Go (Taylor's Version) (From The Vault),0.066,0.633,279833,0.551,9.94e-06,-8.297,0.0341,109.95,0.164
Now That We Don't Talk (Taylor's Version) (From The Vault),0.16,0.8,146437,0.501,7.14e-05,-9.332,0.034,110.013,0.0831
Suburban Legends (Taylor's Version) (From The Vault),0.207,0.701,171819,0.625,0,-8.804,0.036,118.036,0.323
Is It Over Now? (Taylor's Version) (From The Vault),0.041,0.595,229478,0.656,0,-7.343,0.037,99.994,0.191
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),0.0104,0.602,199773,0.648,0,-6.905,0.103,170.091,0.174
Welcome To New York (Taylor's Version),0.00961,0.761,212600,0.607,2.24e-05,-4.83,0.0312,116.98,0.674
Blank Space (Taylor's Version),0.0976,0.737,231833,0.725,0,-5.417,0.0641,96.012,0.755
Style (Taylor's Version),0.000418,0.575,231000,0.824,0.0214,-4.823,0.038,94.971,0.292
Out Of The Woods (Taylor's Version),0.000512,0.547,235800,0.885,9.37e-05,-5.961,0.0418,91.992,0.192
All You Had To Do Was Stay (Taylor's Version),0.000718,0.586,193289,0.72,0,-5.556,0.035,97.057,0.481
Shake It Off (Taylor's Version),0.0103,0.632,219209,0.807,1.27e-05,-5.676,0.0738,160.055,0.921
I Wish You Would (Taylor's Version),0.00357,0.669,207650,0.851,1.04e-05,-6.526,0.0432,118.026,0.541
Bad Blood (Taylor's Version),0.0385,0.619,211104,0.686,0,-6.369,0.164,169.943,0.364
Wildest Dreams (Taylor's Version),0.0411,0.581,220433,0.672,9.35e-05,-7.415,0.0739,140.061,0.514
How You Get The Girl (Taylor's Version),0.00209,0.754,247533,0.682,9.88e-06,-5.789,0.0565,120.027,0.547
