Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Boyfriend,0.216,0.811,161188,0.512,0.0266,-6.38,0.173,92.025,0.336
Lose You To Love Me,0.556,0.488,206459,0.343,0,-8.985,0.0436,102.819,0.0978
Rare,0.208,0.838,220590,0.545,8.01e-05,-6.713,0.0706,114.998,0.631
Souvenir,0.207,0.841,161606,0.479,1.16e-05,-5.837,0.0376,112.968,0.454
Look At Her Now,0.114,0.753,162596,0.564,0.0273,-7.908,0.252,77.342,0.55
Rare,0.208,0.838,220590,0.545,8.01e-05,-6.713,0.0706,114.998,0.631
Dance Again,0.0447,0.784,170498,0.552,0,-7.261,0.0871,111.984,0.465
Look At Her Now,0.114,0.753,162596,0.564,0.0273,-7.908,0.252,77.342,0.55
Lose You To Love Me,0.556,0.488,206459,0.343,0,-8.985,0.0436,102.819,0.0978
Ring,0.565,0.873,148776,0.51,3.13e-06,-5.35,0.0661,110.953,0.871
Revival,0.128,0.684,246400,0.732,0,-4.966,0.0862,124.888,0.527
Kill Em With Kindness,0.00795,0.757,217907,0.884,5.87e-05,-5.488,0.0404,120.012,0.398
Hands To Myself,0.0147,0.811,200680,0.499,2.44e-06,-7.161,0.118,111.016,0.466
Same Old Love,0.0223,0.672,229080,0.593,0,-4.01,0.0304,98.02,0.438
Sober,0.171,0.573,194827,0.741,0,-3.22,0.0788,92.021,0.526
Birthday,0.00494,0.642,200640,0.839,0,-2.7,0.0455,106.969,0.419
Slow Down,0.073,0.722,210293,0.821,0,-3.856,0.165,127.944,0.721
Stars Dance,0.00346,0.443,217427,0.886,0,-3.802,0.0921,109.966,0.26
Like A Champion,0.0736,0.705,175760,0.903,0,-4.091,0.118,90.001,0.935
Come & Get It,0.0101,0.546,231987,0.787,0.00021,-4.1,0.0517,79.979,0.573
