Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Main Titles (You’ve Been Called Back to Top Gun),0.0404,0.493,150667,0.302,0.834,-12.478,0.0289,107.425,0.157
Danger Zone,0.0697,0.553,215573,0.887,0,-6.463,0.0387,156.767,0.687
Darkstar,0.666,0.448,181053,0.381,0.756,-18.062,0.0346,145.031,0.14
Great Balls Of Fire - Live,0.765,0.562,114760,0.605,0,-7.299,0.0421,160.039,0.629
You’re Where You Belong / Give ‘Em Hell,0.587,0.157,346347,0.0927,0.779,-20.179,0.0379,145.73,0.0325
I Ain't Worried,0.0826,0.704,148486,0.797,0.000745,-5.927,0.0475,139.994,0.825
Dagger One Is Hit / Time To Let Go,0.72,0.0633,306027,0.0976,0.792,-20.081,0.0496,61.466,0.0344
Tally Two / What’s The Plan / F-14,0.424,0.182,274493,0.342,0.673,-15.843,0.0348,145.068,0.0388
"The Man, The Legend / Touchdown",0.25,0.237,234493,0.436,0.932,-11.845,0.0315,152.238,0.05
Penny Returns - Interlude,0.871,0.168,167307,0.0184,0.934,-27.194,0.0414,112.285,0.0327
Hold My Hand,0.0403,0.53,225280,0.612,0,-4.286,0.0331,148.009,0.264
Top Gun Anthem,0.00145,0.448,148933,0.336,0.838,-13.124,0.0322,107.351,0.0364
It's De-Lovely,0.726,0.596,173440,0.471,0,-5.722,0.138,93.103,0.431
Night And Day,0.61,0.399,222373,0.384,0,-6.981,0.0286,102.31,0.339
Love For Sale,0.71,0.588,220787,0.493,0,-7.331,0.104,104.1,0.518
Do I Love You,0.888,0.263,288280,0.286,2.56e-06,-7.986,0.0295,61.842,0.18
I've Got You Under My Skin,0.804,0.646,185933,0.478,0,-6.57,0.0349,129.443,0.715
I Concentrate On You,0.539,0.552,236800,0.58,3.3e-06,-7.307,0.0339,129.544,0.593
I Get A Kick Out Of You,0.811,0.462,213960,0.452,0,-6.492,0.0511,78.911,0.537
So In Love,0.778,0.431,271333,0.396,5.21e-05,-9.999,0.0284,123.262,0.375
Let's Do It,0.746,0.496,216493,0.455,0,-6.746,0.0514,130.009,0.426
Dream Dancing,0.695,0.452,256280,0.447,1.38e-06,-7.37,0.031,132.049,0.31
Just One Of Those Things,0.813,0.352,179947,0.567,8.9e-06,-6.945,0.0438,202.623,0.78
You're The Top,0.42,0.573,169400,0.579,0,-5.845,0.173,90.767,0.776
Alice - LSDXOXO Remix,0.121,0.908,160396,0.808,0.0688,-5.424,0.0671,122.948,0.751
Stupid Love - COUCOU CHLOE Remix,0.00275,0.772,156847,0.817,0.75,-5.729,0.146,128.047,0.462
Rain On Me (with Ariana Grande) - Arca Remix,0.334,0.644,263473,0.637,0.0002,-8.004,0.0734,122.998,0.306
Free Woman - Rina Sawayama & Clarence Clarity Remix,0.0254,0.574,233901,0.961,0,-3.753,0.157,119.053,0.312
Fun Tonight - Pabllo Vittar Remix,0.00693,0.642,140968,0.915,0,-3.323,0.0367,131.969,0.843
911 - Charli XCX & A. G. Cook Remix,0.146,0.6,253642,0.812,5.56e-06,-4.799,0.0515,122.908,0.355
Plastic Doll - Ashnikko Remix,0.0339,0.671,149527,0.845,0,-4.12,0.067,145.044,0.834
Sour Candy (with BLACKPINK) - Shygirl & Mura Masa Remix,0.143,0.816,225326,0.526,0.384,-7.511,0.045,119.972,0.183
Enigma - Doss Remix,0.0182,0.762,270782,0.822,0.173,-5.878,0.0517,123.971,0.0387
Replay - Dorian Electra Remix,0.0053,0.621,229407,0.751,0,-4.304,0.187,124.965,0.491
"Sine From Above (with Elton John) - Chester Lockhart, Mood Killer & Lil Texas Remix",0.103,0.457,250141,0.73,0,-4.222,0.283,135.904,0.528
1000 Doves - Planningtorock Remix,0.000474,0.66,305167,0.536,0.928,-8.925,0.0418,129.003,0.379
Babylon - Bree Runway & Jimmy Edgar Remix,0.04,0.814,168173,0.883,0,-5.071,0.0732,115.987,0.502
Babylon - Haus Labs Version,0.057,0.808,181534,0.967,0.0121,-3.036,0.0654,111.971,0.76
Marry The Night,0.00103,0.614,264520,0.878,0.00438,-4.422,0.056,131.094,0.406
Born This Way,0.0036,0.586,260253,0.827,0,-5.103,0.151,123.905,0.514
Government Hooker,0.00019,0.672,254267,0.804,0.0603,-6.778,0.0365,119.979,0.496
Judas,0.000967,0.661,249067,0.937,1.58e-05,-3.83,0.0744,130.999,0.535
Americano,0.000638,0.608,246480,0.842,7.39e-06,-5.072,0.0328,127.982,0.332
Hair,0.000852,0.57,307893,0.925,1.13e-05,-3.452,0.062,135.0,0.363
Scheiße,0.00488,0.728,225467,0.97,0,-4.883,0.101,131.054,0.539
Bloody Mary,0.0134,0.584,244760,0.638,3.06e-06,-6.437,0.0302,99.97,0.456
Bad Kids,3.73e-05,0.676,230947,0.748,0.00306,-6.209,0.0297,119.998,0.426
Highway Unicorn (Road To Love),0.000276,0.559,255747,0.767,2.56e-05,-6.69,0.0358,127.965,0.277
Heavy Metal Lover,8.17e-05,0.599,252560,0.643,0.19,-8.463,0.0595,115.978,0.701
Electric Chapel,0.00156,0.684,253227,0.916,0.00259,-4.516,0.0388,128.031,0.82
Yoü And I,0.0745,0.516,307347,0.709,0,-5.234,0.0478,127.073,0.515
The Edge Of Glory,0.000343,0.582,320587,0.772,0.0191,-6.544,0.0401,127.957,0.36
Marry The Night,0.000225,0.629,279600,0.903,0.00896,-4.059,0.0429,130.955,0.352
Judas,0.00549,0.637,247561,0.862,7.27e-05,-3.768,0.0749,129.981,0.358
Highway Unicorn (Road To Love),0.134,0.72,215599,0.847,3.98e-05,-5.434,0.0343,127.016,0.796
Yoü And I,0.428,0.542,282616,0.334,0,-8.624,0.036,124.428,0.253
The Edge Of Glory,0.00178,0.588,239095,0.901,0,-4.301,0.0809,124.004,0.502
Born This Way - The Country Road Version,0.262,0.676,258107,0.535,0,-8.432,0.0354,117.956,0.567
Chromatica I,0.0126,0.231,60400,0.457,0.875,-10.773,0.0318,65.827,0.0588
Alice,0.00334,0.723,177600,0.88,0.0179,-4.287,0.038,123.036,0.323
Stupid Love,0.00173,0.68,193533,0.825,0.000122,-4.296,0.0702,117.987,0.784
Rain On Me (with Ariana Grande),0.021,0.672,182200,0.855,0,-3.764,0.0397,123.056,0.646
Free Woman,0.0228,0.731,191467,0.927,7.15e-05,-3.634,0.0781,119.006,0.478
Fun Tonight,0.364,0.645,173427,0.923,1.06e-06,-4.262,0.0725,117.945,0.323
Chromatica II,0.473,0.184,41867,0.297,0.893,-14.534,0.0359,75.824,0.113
911,0.0294,0.789,172133,0.813,2.07e-06,-4.563,0.0374,116.007,0.42
Plastic Doll,0.0019,0.743,221667,0.853,3.49e-05,-4.842,0.04,121.028,0.422
Sour Candy (with BLACKPINK),0.0604,0.752,157707,0.87,1.12e-05,-3.812,0.0623,120.006,0.784
Enigma,0.0306,0.669,179760,0.804,0,-4.035,0.036,116.001,0.184
Replay,0.00792,0.658,186653,0.878,0,-3.875,0.123,122.015,0.683
Chromatica III,0.952,0.493,27667,0.373,0.981,-12.475,0.0524,121.454,0.565
Sine From Above (with Elton John),0.158,0.642,244880,0.792,9.84e-06,-5.746,0.0488,122.965,0.0903
1000 Doves,0.0236,0.668,215480,0.826,1.07e-05,-4.466,0.0383,122.973,0.388
Babylon,0.0129,0.698,161733,0.799,5.46e-06,-4.372,0.0342,115.957,0.351
Black Eyes,0.000811,0.373,183773,0.937,6.37e-05,-2.133,0.0834,150.242,0.46
La Vie En Rose,0.758,0.276,179760,0.405,0,-7.296,0.0329,76.18,0.335
Maybe It's Time,0.798,0.699,159293,0.282,1.23e-06,-7.65,0.0374,79.776,0.359
Out Of Time,0.173,0.584,172320,0.915,0.822,-7.339,0.0579,99.983,0.359
Alibi,0.0145,0.285,183227,0.787,0.00043,-3.641,0.036,175.693,0.636
Shallow - Radio Edit,0.416,0.575,217213,0.33,0,-6.557,0.031,95.801,0.277
Music To My Eyes,0.392,0.625,199200,0.356,0.00129,-9.044,0.0319,114.805,0.325
Diggin' My Grave,0.171,0.684,237307,0.612,1.53e-05,-4.653,0.0287,93.964,0.561
Always Remember Us This Way,0.299,0.553,210200,0.502,0,-5.972,0.0409,129.976,0.296
Look What I Found,0.456,0.849,175240,0.493,0.000463,-4.1,0.0417,97.012,0.447
Heal Me,0.0481,0.606,196800,0.544,0,-8.36,0.0593,86.013,0.456
I Don't Know What Love Is,0.348,0.421,177293,0.535,0.000194,-6.556,0.0288,62.671,0.221
