Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
ONLY,0.892,0.536,240907,0.296,0,-7.451,0.0346,122.907,0.151
BREATHE,0.803,0.616,288915,0.251,0,-8.454,0.038,123.802,0.356
For You,0.724,0.588,205120,0.452,0,-7.778,0.039,83.936,0.267
MY LOVE,0.859,0.375,220929,0.343,0,-7.224,0.0345,121.879,0.158
HOLO,0.768,0.406,178520,0.474,0,-6.349,0.0295,179.914,0.206
NO ONE,0.226,0.745,194596,0.613,0,-5.368,0.0427,91.996,0.542
H.S.K.T. (feat. Wonstein),0.252,0.756,204453,0.672,0.000341,-5.711,0.0373,113.975,0.327
Savior (feat. B.I),0.645,0.807,215560,0.501,1.53e-05,-6.397,0.0377,94.958,0.401
Red Lipstick (feat. Yoonmirae),0.098,0.761,187320,0.941,0,-2.166,0.0741,107.021,0.82
Rose,0.0446,0.756,222288,0.675,0,-6.619,0.0374,124.977,0.401
